product_id,product_name,category,brand,unit_price,unit_cost,launch_date,is_active
43,Koza Moda Pro,Moda męska,Lumia,218.01,103.54,2024-09-04,True
44,Trawa Uroda Pro,Uroda,Nortex,121.06,46.07,2025-09-07,True
45,Przedstawiciel Sport Classic,Sport,Vesto,58.34,31.12,2025-01-21,True
46,Naturalny Moda Basic,Moda męska,Ecolen,0.0,48.49,2025-08-24,True
47,Zielony Uroda Pro,Uroda,Nordly,186.5,93.94,2026-02-27,True
48,Deszcz Elektronika Classic,elektronika,Bellure,631.21,359.48,2026-01-07,True
49,Analiza Elektronika Premium,Elektronika,Primo Style,950.07,711.0,2025-09-30,True
50,Zamiast Sport Premium,Sport,UrbanLine,80.47,48.08,2026-04-06,True
51,Lud Moda Pro,Moda męska,Lumia,154.48,103.42,2024-09-06,True
52,Imię Moda Pro,Moda damska,MaxFit,223.35,136.5,2025-01-27,True
53,Rosja Moda Pro,Moda męska,UrbanLine,271.26,159.38,2025-05-22,True
54,Administracyjny Moda Basic,Moda męska,Bellure,376.22,182.83,2024-11-21,True
55,Rząd Uroda Classic,Uroda,Klarra,74.35,31.6,2025-12-29,True
56,Całkowicie Moda Classic,Moda damska,GripPro,333.2,196.23,2025-10-12,True
57,Seks Moda Premium,Moda męska,MaxFit,229.67,121.1,2026-05-09,False
58,Grzyb Dom Pro,Dom i wnętrza,Bellure,811.97,394.28,2025-11-14,False
59,Skład Elektronika Classic,Elektronika,Tessera,879.62,651.76,2026-05-17,True
60,Spać Dom Pro,Dom i wnętrza,MaxFit,800.31,351.58,2026-02-14,True
61,Smutek Dom Eco,Dom i wnętrza,Tessera,586.14,302.35,2024-09-13,True
62,Ta Moda Eco,Moda damska,Nortex,75.53,46.02,2025-12-15,True
63,Postawa Uroda Pro,Uroda,Vesto,15.88,7.34,2025-12-10,True
64,Surowy Elektronika Pro,Elektronika,Tessera,1646.31,929.87,2024-12-08,True
65,Organ Moda Eco,Moda damska,Vesto,295.38,146.93,2026-01-15,True
66,Wino Elektronika Premium,Elektronika,Kidzo,1640.6,936.57,2026-04-08,True
67,Graniczyć Uroda Classic,Uroda,GripPro,129.42,50.38,2025-05-08,True
68,0 Akcesoria Classic,akcesoria,Aurea,77.06,35.46,2025-01-05,True
69,Wschód Elektronika Premium,Elektronika,GripPro,2432.88,1731.01,2025-11-27,True
70,Dużo Dom Premium,Dom i wnętrza,Lumia,719.67,347.76,2025-09-25,True
71,Współczesny Elektronika Pro,Elektronika,Lumia,1462.41,806.59,2025-12-15,False
72,Publiczny Moda Eco,Moda męska,Vesto,140.08,76.71,2024-09-05,True
73,Mgła Dom Premium,Dom i wnętrza,GripPro,589.14,289.45,2026-07-11,True
74,Rzadko Dom Eco,Dom i wnętrza,UrbanLine,867.2,478.54,2026-04-28,True
75,Urzędnik Elektronika Basic,Elektronika,Kidzo,770.4,557.15,2025-03-28,True
76,Budowla Sport Eco,Sport,Domora,125.61,59.8,2025-10-16,True
77,Wreszcie Dom Premium,Dom i wnętrza,Ecolen,843.2,458.79,2024-11-27,True
78,Nie ma Moda Eco,moda damska,UrbanLine,260.4,175.35,2026-08-03,True
79,Sierpień Moda Pro,moda damska,Aurea,89.43,55.81,2026-01-11,True
80,Stać się Sport Premium,Sport,Lumia,426.3,214.68,2025-12-27,True
81,60 Moda Basic,Moda damska,Domora,168.42,103.3,2026-03-21,False
82,Owoc Akcesoria Classic,akcesoria,Primo Style,217.89,88.84,2026-06-08,True
83,Chcieć Elektronika Basic,Elektronika,Bellure,1301.79,977.14,2025-11-06,True
84,Sport Akcesoria Pro,Akcesoria,Tessera,179.26,80.76,2026-03-04,True
85,Lekarz Dziecko Premium,Dziecko,Kidzo,312.7,124.87,2024-11-23,True
86,Nagły Elektronika Basic,Elektronika,Klarra,1465.79,798.78,2024-09-26,True
87,Dziadek Uroda Basic,Uroda,Vesto,96.01,31.18,2025-11-17,True
88,Biały Moda Premium,Moda damska,Bellure,49.98,28.74,2024-09-21,True
89,Włosy Dom Eco,Dom i wnętrza,Lumia,743.95,325.46,2025-09-20,True
90,Ubranie Dom Eco,Dom i wnętrza,Lumia,697.97,332.63,2024-12-11,True
91,Mrówka Sport Pro,Sport,Aurea,384.05,256.25,2025-11-19,True
92,Powiedzieć Dom Pro,Dom i wnętrza,Vantex,659.6,414.91,2026-08-06,True
93,Administracyjny Moda Basic,Moda męska,UrbanLine,224.87,140.18,2025-02-17,True
94,Naturalny Moda Pro,Moda damska,Vantex,197.03,99.7,2024-10-21,True
95,Bić Dom Pro,Dom i wnętrza,Tessera,1054.3,21.03,2024-12-22,True
96,Fałszywy Dom Eco,Dom i wnętrza,Nortex,161.73,99.67,2025-02-12,True
97,Przybyć Moda Pro,Moda męska,Nortex,236.72,145.86,2025-02-04,True
98,Temperatura Akcesoria Premium,Akcesoria,Lumia,238.44,128.44,2026-01-24,True
99,Tysiąc Uroda Pro,Uroda,Tessera,111.46,39.8,2025-02-08,True
100,Zupełnie Moda Classic,Moda męska,Nordly,167.15,113.5,2026-02-18,True
101,Ciepły Dziecko Classic,Dziecko,UrbanLine,23.75,11.01,2024-11-19,True
102,Zachowanie Dom Basic,Dom i wnętrza,Vantex,454.67,286.92,2025-07-04,True
103,Brudny Dom Classic,Dom i wnętrza,Primo Style,176.38,63.56,2025-11-05,True
104,Herbata Dziecko Eco,Dziecko,GripPro,228.58,88.91,2024-10-20,True
105,Konstrukcja Elektronika Premium,Elektronika,Tessera,966.8,632.38,2026-04-28,True
106,Dziecięcy Dom Classic,Dom i wnętrza,MaxFit,600.7,399.08,2024-12-21,True
107,Ksiądz Elektronika Classic,Elektronika,Ecolen,221.89,141.08,2025-11-01,True
108,Jazda Uroda Basic,uroda,Aurea,178.6,81.13,2025-10-03,True
109,Kilka Dziecko Pro,Dziecko,GripPro,147.1,64.27,2025-10-04,True
110,Dzielić Elektronika Classic,Elektronika,Nordly,2355.59,1879.27,2025-05-06,True
111,Dokonywać Elektronika Premium,Elektronika,Klarra,2403.92,1480.69,2025-03-15,True
112,Charakterystyczny Uroda Premium,Uroda,Aurea,162.01,75.26,2024-09-03,True
113,Kwiecień Dziecko Classic,Dziecko,Vesto,287.77,125.6,2025-12-08,True
114,Śmiech Sport Basic,Sport,Nordly,387.5,184.11,2026-05-25,True
115,2 Dom Pro,Dom i wnętrza,GripPro,667.45,304.3,2024-12-21,True
116,Mleko Akcesoria Basic,Akcesoria,Klarra,190.64,97.49,2026-03-28,True
117,Obcy Dom Premium,Dom i wnętrza,Nordly,890.7,333.89,2026-02-15,True
118,Azja Moda Eco,Moda męska,UrbanLine,161.69,75.11,2026-06-22,True
119,Narzędzie Dom Eco,Dom i wnętrza,Vantex,775.25,471.89,2026-02-21,True
120,Szlachetny Moda Basic,Moda damska,Aurea,76.12,39.52,2026-05-29,True
121,Usługa Moda Pro,Moda damska,Ecolen,220.89,113.4,2026-05-10,True
122,Metr Elektronika Classic,Elektronika,Aurea,1002.54,718.26,2024-09-04,True
123,Lew Moda Basic,Moda damska,GripPro,364.94,193.79,2026-07-27,True
124,Jedzenie Dom Pro,Dom i wnętrza,Primo Style,855.83,391.19,2025-10-28,False
125,Mebel Uroda Eco,Uroda,Lumia,124.94,40.55,2025-04-27,False
126,Szczyt Uroda Premium,Uroda,Primo Style,132.02,55.28,2026-02-15,True
127,Zapalenie Moda Premium,Moda męska,Nortex,323.97,162.33,2025-10-28,True
128,Osobisty Uroda Premium,Uroda,Nordly,91.83,41.27,2026-05-11,True
129,Matematyka Uroda Pro,Uroda,Vantex,76.06,37.5,2024-11-02,True
130,Zrobić Akcesoria Premium,Akcesoria,Klarra,34.68,18.9,2025-12-17,True
131,Układ okresowy Moda Pro,Moda damska,Vesto,65.19,38.41,2024-10-16,True
132,Bieda Moda Classic,Moda męska,Nortex,69.54,42.49,2026-08-06,True
133,Przed Dom Premium,Dom i wnętrza,Nordly,352.11,204.51,2026-07-20,False
134,Szklanka Elektronika Classic,Elektronika,GripPro,2464.7,1519.69,2026-02-04,True
135,Afryka Uroda Basic,Uroda,UrbanLine,80.47,24.74,2026-05-02,True
136,Wspaniały Moda Pro,Moda damska,GripPro,79.03,52.15,2025-08-19,True
137,Kawałek Moda Premium,Moda damska,Domora,43.09,21.64,2024-11-16,True
138,Pies Moda Basic,Moda damska,UrbanLine,81.31,44.45,2025-11-29,True
139,Pomoc Dziecko Premium,Dziecko,Bellure,265.19,136.44,2025-05-19,True
140,Większy Akcesoria Basic,Akcesoria,MaxFit,81.86,37.35,2026-05-13,True
141,Skala Moda Basic,Moda damska,Tessera,119.49,66.3,2026-08-01,True
142,Przechodzić Elektronika Classic,Elektronika,Vantex,229.8,165.19,2025-10-27,True
143,Paliwo Moda Basic,Moda męska,Domora,387.95,275.17,2025-12-21,True
144,Łódź Moda Pro,Moda męska,Klarra,202.63,117.21,2025-11-29,True
145,Zapach Moda Pro,moda damska,Vesto,249.35,135.21,2025-11-30,True
146,Niemcy Uroda Eco,Uroda,Bellure,63.26,32.79,2024-12-17,True
147,Srebro Moda Premium,Moda męska,Tessera,205.93,128.15,2024-10-24,True
148,Róg Sport Pro,Sport,Kidzo,584.41,218.15,2026-08-06,True
149,Natura Elektronika Basic,Elektronika,Klarra,1759.5,908.1,2026-03-15,True
150,Spaść Uroda Basic,Uroda,Klarra,134.14,63.77,2024-12-22,True
151,Nocny Moda Eco,Moda damska,Domora,366.93,220.87,2025-06-21,False
152,Królestwo Sport Premium,Sport,Klarra,560.66,338.28,2026-05-05,False
153,Blisko Moda Pro,Moda damska,Primo Style,55.28,30.12,2026-03-13,True
154,Film Uroda Premium,Uroda,Primo Style,186.79,80.37,2024-11-29,True
155,Niebieski Moda Basic,Moda damska,Nordly,252.89,145.12,2026-04-23,True
156,Znany Dom Classic,Dom i wnętrza,Bellure,757.7,374.27,2025-07-18,True
157,Układ Elektronika Classic,Elektronika,Aurea,1065.31,684.35,2026-05-03,True
158,Idea Elektronika Pro,ELEKTRONIKA,Primo Style,2040.61,1318.47,2026-08-06,True
159,Akt Moda Pro,Moda damska,Domora,397.79,261.0,2026-07-11,True
160,Pusty Uroda Pro,Uroda,Primo Style,162.84,76.84,2025-02-18,True
161,Komputer Moda Pro,moda damska,Nortex,201.2,91.38,2025-12-01,True
162,Wóz Moda Classic,Moda damska,Vantex,261.53,153.64,2025-04-15,True
163,Lipiec Dom Eco,Dom i wnętrza,Nordly,124.25,64.23,2026-02-24,True
164,9 Sport Classic,Sport,Nordly,325.49,209.39,2026-04-16,True
165,Zanim Dom Premium,Dom i wnętrza,Vesto,507.37,290.14,2025-05-29,True
166,Internetowy Elektronika Eco,Elektronika,Nortex,377.34,249.66,2024-09-13,True
167,Chmura Dom Classic,Dom i wnętrza,Klarra,684.99,413.89,2024-12-28,True
168,Szczęście Sport Premium,Sport,Aurea,106.73,59.92,2024-09-29,True
169,Jedzenie Moda Classic,Moda męska,Nortex,165.21,70.85,2025-06-14,True
170,Tworzyć Moda Premium,Moda męska,Vesto,364.5,237.33,2025-04-03,True
171,Rasa Moda Pro,Moda damska,Nordly,224.04,115.59,2025-11-19,True
172,Siedziba Elektronika Premium,Elektronika,Nordly,2161.79,1607.1,2026-07-31,True
173,Zawsze Moda Pro,Moda męska,Vantex,91.95,50.48,2025-02-08,True
174,Utrzymywać Moda Basic,Moda męska,Domora,204.29,123.75,2026-08-06,True
175,Często Elektronika Eco,Elektronika,UrbanLine,1255.91,915.04,2025-01-20,True
176,Hodować Sport Basic,Sport,Nortex,72.24,28.83,2024-11-12,False
177,Herb Sport Pro,Sport,UrbanLine,101.99,43.13,2025-04-03,True
178,Szybko Moda Basic,Moda damska,Tessera,361.84,211.36,2025-07-24,True
179,Przepis Dziecko Pro,Dziecko,Ecolen,239.29,107.38,2024-10-25,True
180,Słońce Uroda Premium,Uroda,Aurea,44.39,18.5,2025-02-14,True
181,Burza Uroda Basic,Uroda,Vantex,45.8,16.01,2025-04-17,True
182,Wysiłek Moda Classic,Moda damska,MaxFit,220.23,118.17,2025-12-10,True
183,Ogon Uroda Classic,Uroda,UrbanLine,21.84,10.61,2024-10-16,True
184,Reakcja Moda Eco,Moda damska,Bellure,353.49,224.23,2026-06-03,True
185,Należeć Uroda Classic,Uroda,Nortex,25.63,13.06,2026-02-19,True
186,Wysokość Dom Premium,Dom i wnętrza,UrbanLine,186.27,85.05,2024-12-31,True
187,Szpital Sport Basic,Sport,Vesto,240.17,160.0,2025-05-14,True
188,Prywatny Moda Premium,Moda męska,Tessera,205.51,108.56,2026-02-24,True
189,Jan Moda Classic,Moda męska,MaxFit,52.21,31.83,2026-05-29,True
190,Pieniądze Moda Pro,Moda męska,Domora,223.2,107.32,2025-09-04,True
191,Zupa Moda Classic,Moda damska,Ecolen,77.58,50.94,2025-01-31,True
192,Nasienie Dom Premium,Dom i wnętrza,Nortex,260.32,85.39,2025-05-28,True
193,Próba Moda Basic,Moda męska,Lumia,46.23,21.99,2025-04-19,False
194,Deska Dom Classic,Dom i wnętrza,Bellure,129.67,58.9,2026-05-27,True
195,Pojawić się Elektronika Eco,Elektronika,Kidzo,1503.3,1088.2,2025-08-15,True
196,Przez Akcesoria Eco,Akcesoria,MaxFit,35.34,17.52,2025-09-11,True
197,Wysiłek Dom Basic,Dom i wnętrza,Vesto,537.9,252.36,2024-11-17,True
198,Dzisiejszy Moda Eco,Moda damska,Ecolen,141.16,93.27,2025-04-12,True
199,Piękny Moda Eco,Moda męska,Nordly,271.53,112.97,2026-08-06,True
200,Tłuszcz Moda Premium,Moda męska,Tessera,257.08,158.33,2025-01-09,True
201,Byk Elektronika Basic,Elektronika,Vesto,298.37,184.37,2024-12-19,True
202,Pamiętać Dziecko Premium,Dziecko,Primo Style,80.57,35.14,2025-03-20,True
203,Przynieść Moda Basic,Moda damska,Primo Style,101.41,38.01,2026-08-06,True
204,Herbata Dziecko Classic,Dziecko,GripPro,55.97,29.55,2025-05-17,True
205,Mnóstwo Moda Premium,Moda męska,MaxFit,388.01,219.85,2025-02-08,True
206,Białoruś Moda Eco,Moda damska,Nordly,100.52,57.21,2025-12-22,True
207,Przedstawiciel Uroda Pro,Uroda,Ecolen,176.71,104.79,2025-02-27,True
208,Miesiąc Elektronika Classic,Elektronika,GripPro,1934.26,1476.56,2024-12-12,True
209,Pismo Moda Premium,Moda męska,Domora,155.52,88.58,2025-01-18,True
210,Ponownie Akcesoria Pro,Akcesoria,Bellure,41.87,12.56,2025-11-22,True
211,1 Akcesoria Premium,Akcesoria,GripPro,82.54,30.56,2025-08-31,True
212,Wymagać Moda Classic,Moda damska,Vantex,230.73,131.23,2024-10-28,True
213,Nie Dziecko Classic,Dziecko,Tessera,130.08,56.96,2025-12-03,True
214,Dalej Moda Premium,Moda męska,Vesto,312.68,188.61,2025-11-30,True
215,Żydowski Dom Eco,dom i wnętrza,Bellure,437.16,164.41,2026-06-08,True
216,Ciągnąć Moda Classic,Moda damska,Nortex,338.02,161.48,2026-07-26,True
217,Metalowy Moda Pro,Moda damska,Vantex,83.75,47.06,2024-12-15,True
218,Towar Dziecko Eco,Dziecko,GripPro,834.82,19.91,2026-01-04,True
219,Wątpliwość Moda Eco,Moda męska,Aurea,245.81,133.13,2026-03-03,True
220,Zwyczaj Dziecko Pro,Dziecko ,Primo Style,85.54,41.74,2024-12-10,True
221,Zwycięstwo Elektronika Classic,Elektronika,Bellure,451.45,310.62,2025-09-03,True
222,Granica Dom Classic,Dom i wnętrza,Kidzo,338.62,193.84,2026-05-28,True
223,Typowy Elektronika Classic,Elektronika,Bellure,1010.49,639.13,2025-05-26,False
224,Strata Moda Eco,Moda męska,Nortex,205.56,131.78,2025-03-05,False
225,Zawierać Dom Premium,Dom i wnętrza,Vantex,678.41,264.16,2026-05-21,True
226,Sądowy Moda Classic,Moda damska,Tessera,177.2,97.66,2025-10-07,False
227,Tańczyć Moda Eco,Moda damska,Kidzo,365.33,178.3,2026-06-27,True
228,Smak Moda Basic,Moda męska,Nordly,264.97,151.06,2025-04-28,True
229,Turecki Moda Premium,Moda męska,Aurea,89.14,52.21,2025-09-29,True
230,Tradycja Moda Basic,Moda męska,Lumia,360.8,229.94,2026-03-26,True
231,Typowy Dom Pro,Dom i wnętrza,Tessera,157.56,66.74,2026-01-11,True
232,Dzielić Moda Premium,Moda męska,Ecolen,51.07,25.17,2025-10-23,True
233,Kultura Dom Eco,Dom i wnętrza,GripPro,691.39,328.88,2026-03-09,True
234,Szybko Uroda Premium,Uroda,Bellure,34.25,17.4,2026-04-17,True
235,Narodowy Uroda Eco,Uroda,Aurea,37.18,20.08,2024-11-02,True
236,Treść Moda Eco,Moda męska,Nordly,121.53,63.06,2025-12-20,True
237,Drzwi Dom Classic,Dom i wnętrza,Primo Style,654.31,390.63,2025-10-17,True
238,Pół Moda Classic,Moda męska,Ecolen,129.65,80.46,2025-04-16,True
239,Oczywiście Dziecko Premium,Dziecko,MaxFit,78.93,38.83,2025-05-20,True
240,Malować Dziecko Classic,Dziecko,Aurea,171.46,92.33,2026-07-06,True
241,Skłonność Dom Basic,Dom i wnętrza,Bellure,159.03,81.52,2025-11-23,False
242,Szyja Dom Pro,Dom i wnętrza,Bellure,40.83,27.97,2026-05-17,True
243,Lotnisko Akcesoria Premium,Akcesoria,UrbanLine,233.12,133.99,2026-06-12,True
244,Z Moda Eco,Moda męska,Vesto,293.61,173.62,2024-11-03,True
245,Mięsień Akcesoria Premium,Akcesoria,Vesto,149.85,53.36,2026-01-05,True
246,Żywy Elektronika Basic,Elektronika,Primo Style,2338.2,1828.65,2026-06-29,True
247,Spokój Elektronika Pro,Elektronika,GripPro,1153.56,922.85,2025-05-17,True
248,Mój Moda Pro,Moda damska,Ecolen,58.71,34.44,2025-04-11,True
249,Dziewczyna Moda Basic,Moda męska,Vesto,328.03,199.99,2026-06-09,True
250,Lot Akcesoria Eco,Akcesoria,Vesto,96.04,28.81,2025-04-17,True
251,Strach Elektronika Eco,Elektronika,Nortex,1855.88,1011.1,2025-07-27,True
252,W końcu Moda Eco,Moda damska,Lumia,89.71,47.7,2024-12-21,True
253,W ciągu Elektronika Eco,ELEKTRONIKA,Tessera,1270.0,897.01,2025-04-21,True
254,Smutek Dom Basic,Dom i wnętrza,Aurea,532.43,260.36,2025-11-03,True
255,Składać Moda Basic,Moda damska,Primo Style,43.71,20.93,2026-07-11,True
256,Typ Moda Premium,Moda męska,Primo Style,92.52,54.23,2025-06-25,True
257,Litera Elektronika Basic,Elektronika,Aurea,258.11,167.78,2025-11-08,True
258,Dziewięć Moda Premium,Moda damska,Domora,63.15,35.43,2026-02-28,True
259,Broda Sport Pro,Sport,Ecolen,148.65,73.13,2024-12-16,True
260,Przechodzić Dom Classic,Dom i wnętrza,Kidzo,56.94,29.09,2025-07-17,True
261,Tłumaczyć Moda Eco,moda męska,Vantex,242.34,156.84,2025-06-10,True
262,Dużo Sport Basic,Sport,Kidzo,257.43,80.79,2025-10-12,False
263,Jeszcze Moda Basic,Moda damska,Vesto,94.89,54.11,2026-07-13,True
264,Turcja Uroda Eco,Uroda,Klarra,79.96,34.56,2025-02-05,True
265,Tradycyjny Dom Basic,Dom i wnętrza,Primo Style,587.86,279.04,2024-11-07,True
266,Łyżka Dom Premium,DOM I WNĘTRZA,Aurea,650.76,322.21,2025-11-05,True
267,Aby Dom Pro,Dom i wnętrza,Kidzo,48.68,21.94,2025-12-20,True
268,Podłoga Moda Eco,Moda męska,Vantex,46.1,23.0,2024-11-23,True
269,Mur Dom Premium,Dom i wnętrza,Tessera,16858.46,387.43,2025-01-26,True
270,Pojedynczy Sport Basic,Sport,Domora,85.68,36.52,2025-01-24,False
271,Statek Dom Premium,Dom i wnętrza,Primo Style,656.26,338.91,2025-05-27,True
272,Sytuacja Moda Classic,Moda damska,Aurea,279.51,158.68,2024-12-11,True
273,Temu Dom Eco,Dom i wnętrza,Vantex,281.21,107.74,2026-05-28,True
274,Student Uroda Eco,Uroda,Nortex,157.24,90.18,2025-04-22,True
275,Tłumaczyć Dom Eco,Dom i wnętrza,Nortex,251.74,149.06,2025-02-18,True
276,Polak Uroda Basic,Uroda,Vantex,123.6,40.45,2025-06-07,True
277,Wiatr Moda Basic,Moda męska,Tessera,237.74,101.58,2026-07-23,True
278,Niebieski Uroda Basic,Uroda,Tessera,147.87,60.9,2024-11-04,True
279,Późno Dom Basic,Dom i wnętrza,Primo Style,784.04,445.36,2026-03-10,False
280,Obowiązywać Akcesoria Basic,Akcesoria,Vantex,114.5,51.28,2024-09-07,True
281,Planeta Dom Pro,Dom i wnętrza,Klarra,259.82,169.11,2025-02-20,True
282,Telefon Moda Pro,Moda męska,Domora,89.17,53.24,2026-04-02,True
283,Spadać Moda Pro,Moda męska,UrbanLine,393.38,180.88,2025-02-18,True
284,Przypominać Moda Premium,Moda damska,Vantex,45.62,25.41,2026-06-21,True
285,Lot Akcesoria Classic,Akcesoria,Domora,42.55,14.29,2025-10-18,True
286,Pół Sport Premium,Sport,Ecolen,400.31,215.62,2026-04-30,True
287,Kraków Akcesoria Basic,Akcesoria,Nordly,63.3,35.67,2025-12-01,True
288,Postawa Elektronika Premium,Elektronika,Vantex,478.66,363.75,2026-06-29,True
289,Zachowywać się Sport Classic,Sport,Nortex,267.7,141.04,2024-10-06,True
290,Stosować Elektronika Basic,elektronika,MaxFit,456.39,220.95,2026-01-06,True
291,Opłata Elektronika Basic,Elektronika,Vesto,251.86,138.42,2025-05-13,True
292,Lekki Moda Pro,Moda damska,UrbanLine,142.93,84.42,2025-04-09,True
293,Chmura Dom Eco,Dom i wnętrza,UrbanLine,653.45,352.98,2025-08-09,True
294,Scena Uroda Basic,Uroda,Ecolen,130.48,42.7,2026-06-13,True
295,Daleki Dziecko Classic,Dziecko,Tessera,260.75,136.25,2024-10-12,True
296,Potrzeba Moda Eco,Moda damska,Bellure,217.69,96.58,2025-11-14,True
297,Obowiązek Dziecko Pro,Dziecko,Domora,129.3,58.88,2024-10-22,True
298,Częściowo Sport Basic,Sport,Vesto,444.07,229.57,2025-08-30,True
299,Płyta Moda Eco,Moda damska,Primo Style,286.82,126.47,2026-03-06,True
300,Wcześnie Dom Eco,Dom i wnętrza,Vantex,723.69,341.56,2025-12-03,True
301,Światło Dom Premium,Dom i wnętrza,Aurea,262.85,98.99,2024-11-19,False
302,Polityczny Dom Premium,Dom i wnętrza,Lumia,826.73,479.58,2024-11-27,False
303,Łączyć Moda Classic,Moda damska,Nordly,381.09,174.4,2025-10-30,True
304,Mieszkanka Akcesoria Pro,Akcesoria,Primo Style,219.27,95.2,2026-01-25,True
305,Ucho Uroda Premium,Uroda,Aurea,155.34,83.89,2026-04-28,True
306,Dwa Dom Eco,Dom i wnętrza,Primo Style,243.21,139.69,2025-08-21,True
307,Mąka Moda Pro,Moda damska,Domora,118.64,72.05,2024-09-27,False
308,Gęsty Moda Eco,Moda damska,GripPro,290.07,162.26,2025-03-18,True
309,Jasny Moda Pro,Moda męska,Klarra,371.78,233.86,2026-04-02,True
310,Badać Dom Classic,Dom i wnętrza,Domora,303.89,150.23,2026-04-07,False
311,Jednak Elektronika Classic,Elektronika,Domora,139.67,77.05,2024-11-24,False
312,Ten Dom Classic,Dom i wnętrza,Primo Style,92.26,49.37,2025-12-17,True
313,Nie- Moda Eco,Moda męska,Nortex,161.35,85.79,2025-03-08,True
314,Szkoda Moda Basic,Moda damska,Lumia,233.22,130.47,2026-03-02,True
315,Kiedyś Elektronika Premium,Elektronika,Vantex,829.94,589.87,2025-11-02,True
316,Prawo Dziecko Basic,Dziecko,GripPro,95.88,47.92,2024-09-14,True
317,Czynność Dom Pro,Dom i wnętrza,Tessera,785.47,431.96,2026-03-28,True
318,Oni Sport Premium,Sport,Primo Style,597.82,300.88,2025-04-13,True
319,Pisanie Moda Basic,Moda damska,Vesto,315.19,162.11,2025-11-18,True
320,Praca Moda Eco,Moda damska,Nordly,353.52,132.95,2026-08-06,False
321,Chyba Sport Pro,Sport,Vantex,466.92,178.49,2026-01-07,True
322,Cześć Moda Classic,Moda męska,Vantex,124.96,53.35,2024-11-30,True
